itemset,support,support_pct
['fontawesome-webfont'],189,23.595505617977526
['contestproblem'],167,20.848938826466917
['login'],107,13.358302122347066
['profile'],98,12.234706616729088
['details'],79,9.86267166042447
['description'],72,8.98876404494382
['contestsubmission'],62,7.740324594257178
['archive'],55,6.866416978776529
['standings'],45,5.617977528089887
['showcode'],42,5.2434456928838955
['submit'],33,4.119850187265917
['allsubmission'],24,2.9962546816479403
['countdown'],19,2.3720349563046192
